totalId:ID,name,:LABEL
265202,0.04亿元,总授信额度
265203,0.04亿元,总授信额度
265204,319.88亿元,总授信额度
265205,479.62亿元,总授信额度
265206,25.30亿元,总授信额度
265207,14.17亿元,总授信额度
265208,22.50亿元,总授信额度
265209,53.05亿元,总授信额度
265210,14.00亿元,总授信额度
265211,32.00亿元,总授信额度
265212,16.00亿元,总授信额度
265213,5.40亿元,总授信额度
265214,34.73亿元,总授信额度
265215,8.00亿元,总授信额度
265216,19.65亿元,总授信额度
265217,13.50亿元,总授信额度
265218,13.00亿元,总授信额度
265219,15.50亿元,总授信额度
265220,26.00亿元,总授信额度
265221,1.50亿元,总授信额度
265222,8.50亿元,总授信额度
265223,2.86亿元,总授信额度
265224,300.36亿元,总授信额度
265225,21.88亿元,总授信额度
265226,31.60亿元,总授信额度
265227,260.00亿元,总授信额度
265228,330.00亿元,总授信额度
265229,45.00亿元,总授信额度
265230,40.00亿元,总授信额度
265231,155.00亿元,总授信额度
265232,65.00亿元,总授信额度
265233,150.00亿元,总授信额度
265234,128.00亿元,总授信额度
265235,215.00亿元,总授信额度
265236,35.00亿元,总授信额度
265237,95.00亿元,总授信额度
265238,10.00亿元,总授信额度
265239,557.00亿元,总授信额度
265240,136.00亿元,总授信额度
265241,30.00亿元,总授信额度
265242,230.00亿元,总授信额度
265243,1.00亿元,总授信额度
265244,80.00亿元,总授信额度
265245,80.00亿元,总授信额度
265246,5.90亿元,总授信额度
265247,8.30亿元,总授信额度
265248,12.35亿元,总授信额度
265249,206.20亿元,总授信额度
265250,6.58亿元,总授信额度
265251,4.00亿元,总授信额度
265252,24.00亿元,总授信额度
265253,5.00亿元,总授信额度
265254,5.00亿元,总授信额度
265255,5.00亿元,总授信额度
265256,17.00亿元,总授信额度
265257,18.00亿元,总授信额度
265258,22.85亿元,总授信额度
265259,43.00亿元,总授信额度
265260,43.73亿元,总授信额度
265261,45.00亿元,总授信额度
265262,49.00亿元,总授信额度
265263,33.80亿元,总授信额度
265264,90.38亿元,总授信额度
265265,47.58亿元,总授信额度
265266,70.00亿元,总授信额度
265267,5.00亿元,总授信额度
265268,10.00亿元,总授信额度
265269,46.70亿元,总授信额度
265270,2.20亿元,总授信额度
265271,1.50亿元,总授信额度
265272,3.75亿元,总授信额度
265273,3.00亿元,总授信额度
265274,7.00亿元,总授信额度
265275,3.00亿元,总授信额度
265276,20.45亿元,总授信额度
265277,109.30亿元,总授信额度
265278,5.28亿元,总授信额度
265279,28.94亿元,总授信额度
265280,8.20亿元,总授信额度
265281,2.40亿元,总授信额度
265282,198.00亿元,总授信额度
265283,180.00亿元,总授信额度
265284,167.27亿元,总授信额度
265285,164.70亿元,总授信额度
265286,167.52亿元,总授信额度
265287,110.00亿元,总授信额度
265288,100.17亿元,总授信额度
265289,100.00亿元,总授信额度
265290,90.00亿元,总授信额度
265291,85.00亿元,总授信额度
265292,52.00亿元,总授信额度
265293,39.00亿元,总授信额度
265294,55.50亿元,总授信额度
265295,45.00亿元,总授信额度
265296,40.00亿元,总授信额度
265297,38.00亿元,总授信额度
265298,40.19亿元,总授信额度
265299,45.00亿元,总授信额度
265300,35.00亿元,总授信额度
265301,3.47亿元,总授信额度
265302,3.00亿元,总授信额度
265303,22.10亿元,总授信额度
265304,1780.92亿元,总授信额度
265305,16.00亿元,总授信额度
265306,14.92亿元,总授信额度
265307,5.00亿元,总授信额度
265308,26.00亿元,总授信额度
265309,5.00亿元,总授信额度
265310,33.00亿元,总授信额度
265311,10.00亿元,总授信额度
265312,10.00亿元,总授信额度
265313,2.00亿元,总授信额度
265314,7.00亿元,总授信额度
265315,5.00亿元,总授信额度
265316,3.00亿元,总授信额度
265317,15.00亿元,总授信额度
265318,3.00亿元,总授信额度
265319,24.00亿元,总授信额度
265320,7.50亿元,总授信额度
265321,7.00亿元,总授信额度
265322,6.00亿元,总授信额度
265323,2.00亿元,总授信额度
265324,5.00亿元,总授信额度
265325,10.00亿元,总授信额度
265326,3.00亿元,总授信额度
265327,6.00亿元,总授信额度
265328,5.00亿元,总授信额度
265329,3.00亿元,总授信额度
265330,8.00亿元,总授信额度
265331,3.00亿元,总授信额度
265332,5.00亿元,总授信额度
265333,1.00亿元,总授信额度
265334,2.00亿元,总授信额度
265335,6.00亿元,总授信额度
265336,258.42亿元,总授信额度
265337,205.00亿元,总授信额度
265338,2.30亿元,总授信额度
265339,2.00亿元,总授信额度
265340,6.45亿元,总授信额度
265341,6.00亿元,总授信额度
265342,4.00亿元,总授信额度
265343,4.00亿元,总授信额度
265344,4.75亿元,总授信额度
265345,9.00亿元,总授信额度
265346,2.00亿元,总授信额度
265347,8.00亿元,总授信额度
265348,3.00亿元,总授信额度
265349,6.00亿元,总授信额度
265350,3.00亿元,总授信额度
265351,40.00亿元,总授信额度
265352,6.80亿元,总授信额度
265353,6.11亿元,总授信额度
265354,1.90亿元,总授信额度
265355,6.96亿元,总授信额度
265356,3.10亿元,总授信额度
265357,4.00亿元,总授信额度
265358,3.46亿元,总授信额度
265359,3.00亿元,总授信额度
265360,2.00亿元,总授信额度
265361,1.00亿元,总授信额度
265362,2.00亿元,总授信额度
265363,130.08亿元,总授信额度
265364,103.15亿元,总授信额度
265365,6.50亿元,总授信额度
265366,6.69亿元,总授信额度
265367,0.05亿元,总授信额度
265368,26.05亿元,总授信额度
265369,23.76亿元,总授信额度
265370,15.80亿元,总授信额度
265371,19.20亿元,总授信额度
265372,4.00亿元,总授信额度
265373,29.18亿元,总授信额度
265374,15.14亿元,总授信额度
265375,23.00亿元,总授信额度
265376,13.87亿元,总授信额度
265377,15.00亿元,总授信额度
265378,16.40亿元,总授信额度
265379,10.50亿元,总授信额度
265380,79.96亿元,总授信额度
265381,291.86亿元,总授信额度
265382,0.55亿元,总授信额度
265383,0.20亿元,总授信额度
265384,0.75亿元,总授信额度
265385,67.97亿元,总授信额度
265386,41.14亿元,总授信额度
265387,1.80亿元,总授信额度
265388,0.50亿元,总授信额度
265389,0.25亿元,总授信额度
265390,1.70亿元,总授信额度
265391,0.55亿元,总授信额度
265392,0.20亿元,总授信额度
265393,5.00亿元,总授信额度
265394,2.22亿元,总授信额度
265395,326.16亿元,总授信额度
265396,0.80亿元,总授信额度
265397,1.20亿元,总授信额度
265398,5.83亿元,总授信额度
265399,163.70亿元,总授信额度
265400,1.35亿元,总授信额度
265401,3.00亿元,总授信额度
265402,2.50亿元,总授信额度
265403,1.20亿元,总授信额度
265404,3.00亿元,总授信额度
265405,1.20亿元,总授信额度
265406,1.00亿元,总授信额度
265407,1.50亿元,总授信额度
265408,1.50亿元,总授信额度
265409,4.00亿元,总授信额度
265410,2.20亿元,总授信额度
265411,22.45亿元,总授信额度
265412,13.00亿元,总授信额度
265413,29.20亿元,总授信额度
265414,5.00亿元,总授信额度
265415,27.85亿元,总授信额度
265416,27.63亿元,总授信额度
265417,166.00亿元,总授信额度
265418,3.15亿元,总授信额度
265419,1.20亿元,总授信额度
265420,8.90亿元,总授信额度
265421,0.60亿元,总授信额度
265422,2.00亿元,总授信额度
265423,15.80亿元,总授信额度
265424,3.40亿元,总授信额度
265425,8.00亿元,总授信额度
265426,3.55亿元,总授信额度
265427,13.00亿元,总授信额度
265428,1.05亿元,总授信额度
265429,1.00亿元,总授信额度
265430,6.25亿元,总授信额度
265431,96.92亿元,总授信额度
265432,33.76亿元,总授信额度
265433,7.72亿元,总授信额度
265434,0.85亿元,总授信额度
265435,2.75亿元,总授信额度
265436,5.50亿元,总授信额度
265437,3.00亿元,总授信额度
265438,3.00亿元,总授信额度
265439,2.05亿元,总授信额度
